tmdb,name
1,George Lucas
7,Andrew Stanton
8,Lee Unkrich
24,Robert Zemeckis
39,Sam Mendes
40,Orson Welles
42,Lars von Trier
43,John Fawcett
59,Luc Besson
68,Fritz Lang
108,Peter Jackson
138,Quentin Tarantino
185,Katsuhiro Otomo
190,Clint Eastwood
197,David Silverman
201,Michel Gondry
202,Charlie Kaufman
223,Alejandro González Iñárritu
224,David Cronenberg
240,Stanley Kubrick
280,Terry Gilliam
309,Pedro Almodóvar
323,Curtis Hanson
366,James Mangold
455,Paul Haggis
468,Stephen Daldry
488,Steven Spielberg
508,David Koepp
510,Tim Burton
518,Danny DeVito
525,Christopher Nolan
559,Wally Pfister
564,Richard Linklater
578,Ridley Scott
607,Zhang Yimou
608,Hayao Miyazaki
628,Isao Takahata
638,Michael Mann
648,Philip Kaufman
716,Emile Ardolino
769,Martin Brest
793,Luis Buñuel
814,Tony Kaye
834,Otto Preminger
865,Michael Bay
880,Ben Affleck
893,Tony Scott
956,Guy Ritchie
957,Matthew Vaughn
974,Dexter Fletcher
1011,Susanne Bier
1032,Martin Scorsese
1035,Paul Schrader
1038,Jodie Foster
1071,Tom Tykwer
1090,John McTiernan
1108,Shane Black
1126,Krzysztof Kieślowski
1150,Brian De Palma
1152,Oliver Stone
1176,Lone Scherfig
1201,Garry Marshall
1215,Raja Gosnell
1223,Joel Coen
1224,Ethan Coen
1243,Woody Allen
1269,Kevin Costner
1333,Andy Serkis
1461,George Clooney
1496,Tod Browning
1524,Harold Ramis
1577,Richard Kelly
1614,Ang Lee
1650,François Truffaut
1704,Gore Verbinski
1723,Walter Hill
1724,Roger Spottiswoode
1744,Robert Wise
1769,Sofia Coppola
1776,Francis Ford Coppola
1788,Nicholas Meyer
1884,Steven Soderbergh
1921,George Nolfi
1927,Blake Edwards
2034,Danny Boyle
2036,Alex Garland
2042,Stephen Hopkins
2127,James Wan
2128,Leigh Whannell
2150,Kevin Greutert
2171,Griffin Dunne
2199,Scott Frank
2209,Jan de Bont
2226,Sydney Pollack
2228,Sean Penn
2239,Anthony Minghella
2293,Frank Miller
2294,Robert Rodriguez
2303,Wim Wenders
2332,Christian Petzold
2406,Mathieu Kassovitz
2419,Jean-Pierre Jeunet
2461,Mel Gibson
2559,Henri-Georges Clouzot
2589,Terry George
2636,Alfred Hitchcock
2662,Frank Capra
2675,Darren Lynn Bousman
2679,David Hackl
2690,Peter Weir
2710,James Cameron
2725,Rainer Werner Fassbinder
2746,Elia Kazan
2765,Nicholas Ray
2778,Dennis Hopper
2836,Kimberly Peirce
2917,James Whale
2945,Stephen Gaghan
2978,Max Minghella
2991,Robert Wiene
3026,Rob Reiner
3055,David Mackenzie
3146,Billy Wilder
3224,Stephen Frears
3227,Steve Pink
3238,Merian C. Cooper
3239,Ernest B. Schoedsack
3288,Chris Weitz
3289,Paul Weitz
3388,James L. Brooks
3415,Jerry Zucker
3451,Mel Stuart
3556,Roman Polanski
3702,Sebastian Schipper
3776,Jean-Luc Godard
3831,Jean-Pierre Melville
3950,Len Wiseman
3974,Miloš Forman
4014,Paul W. S. Anderson
4027,Frank Darabont
4065,Fred Zinnemann
4109,Michael Curtiz
4385,Sergio Leone
4415,Federico Fellini
4429,Jim Jarmusch
4453,Thomas Vinterberg
4489,Steve Oedekerk
4499,Tom Shadyac
4586,Pitof
4600,Joe Dante
4610,John Landis
4723,Brian Helgeland
4755,David R. Ellis
4762,Paul Thomas Anderson
4782,Michael Crichton
4818,Roberto Benigni
4945,Joe Johnston
4955,Dario Argento
4956,Bernardo Bertolucci
4964,Hal Ashby
5026,Akira Kurosawa
5030,Edgar G. Ulmer
5045,Dan O'Bannon
5065,David Frankel
5133,Bo Welch
5140,Wes Craven
5174,Barry Sonnenfeld
5216,Gus Van Sant
5231,Wolfgang Petersen
5281,Spike Lee
5292,Denzel Washington
5306,Lasse Hallström
5342,Mike Nichols
5345,Bennett Miller
5367,Zach Braff
5446,David Hand
5524,Andrew Adamson
5572,Joel Schumacher
5602,David Lynch
5655,Wes Anderson
5656,Noah Baumbach
5690,James Algar
5691,Samuel Armstrong
5713,Chris Wedge
5714,Carlos Saldanha
5763,Jacques Tati
5834,Robert Stevenson
5877,Vincenzo Natali
5953,Spike Jonze
5970,Pier Paolo Pasolini
6011,Michael Haneke
6046,Roland Emmerich
6159,Ron Howard
6201,Baz Luhrmann
6220,Gurinder Chadha
6349,Alan J. Pakula
6431,Darren Aronofsky
6448,Arthur Penn
6482,John Singleton
6593,John Huston
6648,Ingmar Bergman
6729,Robert Benton
6733,Dan Mazer
6737,Jay Roach
6767,Larry Charles
6817,Agnès Varda
6818,Werner Herzog
