movie_link,director_id
the-invisible-man-2020,2128
emma-2020,937147
palm-springs-2020,1704882
birds-of-prey-and-the-fantabulous-emancipation-of-one-harley-quinn,1936668
john-mulaney-the-sack-lunch-bunch,1475576
star-wars-the-rise-of-skywalker,15344
6-underground,865
little-women-2019,45400
the-gentlemen,956
1917,39
zombieland-double-tap,91268
the-irishman-2019,1032
jojo-rabbit,55934
knives-out-2019,67367
the-king-2019,114334
joker-2019,57130
ford-v-ferrari,366
marriage-story-2019,5656
it-chapter-two,1113116
ready-or-not-2019,66681
ready-or-not-2019,1039527
the-lion-king-2019,15277
spider-man-far-from-home,1293994
midsommar,1145520
toy-story-4,84496
dark-phoenix,11092
godzilla-king-of-the-monsters-2019,11012
parasite-2019,21684
once-upon-a-time-in-hollywood,138
the-lighthouse-2019,138781
rocketman-2019,974
pokemon-detective-pikachu,65630
avengers-endgame,19271
avengers-endgame,19272
shazam,1302082
us-2019,291263
us-2019,2584994
dumbo-2019,510
booksmart,59315
the-peanut-butter-falcon,1546658
the-peanut-butter-falcon,2396600
long-shot-2019,56661
captain-marvel,53068
captain-marvel,53069
triple-frontier,556172
isnt-it-romantic-2019,222470
fighting-with-my-family,39189
velvet-buzzsaw,57113
honey-boy,930012
the-farewell-2019,1371324
black-mirror-bandersnatch,27571
spider-man-into-the-spider-verse,59918
spider-man-into-the-spider-verse,151007
spider-man-into-the-spider-verse,936670
aquaman-2018,2127
instant-family,74619
mary-queen-of-scots-2018,1182269
venom-2018,91268
bad-times-at-the-el-royale,47506
green-book,7396
widows-2018,72757
teen-spirit-2018,2978
beautiful-boy-2018,239672
first-man,136495
crazy-rich-asians,54507
mission-impossible-fallout,9033
mamma-mia-here-we-go-again,17510
a-quiet-place-2018,17697
black-panther-2018,1056121
hereditary,1145520
eighth-grade,115128
the-commuter,59521
blade-runner-2049,137427
kingsman-the-golden-circle,957
unicorn-store,60073
i-tonya,50767
it-2017,1113116
lady-bird,45400
logan-lucky,1884
dunkirk-2017,525
loving-vincent,1003237
loving-vincent,1466181
good-time,129561
good-time,227564
the-killing-of-a-sacred-deer,122423
okja,21684
king-arthur-legend-of-the-sword,956
power-rangers,1099862
baby-driver,11090
gods-own-country-2017,192852
get-out-2017,291263
columbus-2017,1555636
the-big-sick,22215
the-lost-city-of-z,20561
20th-century-women,17439
lady-macbeth,1661862
the-light-between-oceans,139098
nocturnal-animals,120615
arrival-2016,137427
la-la-land,136495
star-trek-beyond,58189
now-you-see-me-2,54507
paterson,4429
the-nice-guys,1108
train-to-busan,939147
x-men-apocalypse,9032
10-cloverfield-lane,568322
