movie_link,genre_id
the-invisible-man-2020,53
the-invisible-man-2020,878
the-invisible-man-2020,27
emma-2020,35
emma-2020,18
emma-2020,10749
palm-springs-2020,35
palm-springs-2020,14
palm-springs-2020,9648
palm-springs-2020,10749
birds-of-prey-and-the-fantabulous-emancipation-of-one-harley-quinn,28
birds-of-prey-and-the-fantabulous-emancipation-of-one-harley-quinn,80
birds-of-prey-and-the-fantabulous-emancipation-of-one-harley-quinn,35
john-mulaney-the-sack-lunch-bunch,35
john-mulaney-the-sack-lunch-bunch,10751
star-wars-the-rise-of-skywalker,28
star-wars-the-rise-of-skywalker,12
star-wars-the-rise-of-skywalker,878
6-underground,28
6-underground,53
little-women-2019,18
little-women-2019,10749
the-gentlemen,28
the-gentlemen,80
the-gentlemen,35
1917,10752
1917,18
1917,28
1917,36
zombieland-double-tap,27
zombieland-double-tap,28
zombieland-double-tap,35
the-irishman-2019,80
the-irishman-2019,18
the-irishman-2019,36
jojo-rabbit,35
jojo-rabbit,10752
jojo-rabbit,18
knives-out-2019,9648
knives-out-2019,53
knives-out-2019,35
knives-out-2019,18
knives-out-2019,80
the-king-2019,18
the-king-2019,36
the-king-2019,10752
joker-2019,80
joker-2019,53
joker-2019,18
ford-v-ferrari,18
ford-v-ferrari,28
marriage-story-2019,18
it-chapter-two,27
it-chapter-two,14
ready-or-not-2019,27
ready-or-not-2019,53
ready-or-not-2019,9648
ready-or-not-2019,35
the-lion-king-2019,12
the-lion-king-2019,10751
the-lion-king-2019,10402
spider-man-far-from-home,28
spider-man-far-from-home,12
spider-man-far-from-home,878
midsommar,27
midsommar,18
midsommar,9648
toy-story-4,12
toy-story-4,16
toy-story-4,35
toy-story-4,10751
toy-story-4,14
dark-phoenix,878
dark-phoenix,28
dark-phoenix,12
godzilla-king-of-the-monsters-2019,878
godzilla-king-of-the-monsters-2019,28
parasite-2019,35
parasite-2019,53
parasite-2019,18
once-upon-a-time-in-hollywood,35
once-upon-a-time-in-hollywood,18
once-upon-a-time-in-hollywood,53
the-lighthouse-2019,18
the-lighthouse-2019,14
the-lighthouse-2019,53
rocketman-2019,18
rocketman-2019,10402
pokemon-detective-pikachu,28
pokemon-detective-pikachu,12
pokemon-detective-pikachu,14
avengers-endgame,12
avengers-endgame,878
avengers-endgame,28
shazam,28
shazam,35
shazam,14
us-2019,53
us-2019,27
us-2019,9648
dumbo-2019,12
dumbo-2019,10751
dumbo-2019,14
booksmart,35
the-peanut-butter-falcon,12
the-peanut-butter-falcon,18
the-peanut-butter-falcon,35
long-shot-2019,35
long-shot-2019,10749
captain-marvel,28
captain-marvel,12
captain-marvel,878
triple-frontier,28
triple-frontier,53
triple-frontier,80
triple-frontier,12
isnt-it-romantic-2019,35
isnt-it-romantic-2019,14
isnt-it-romantic-2019,10749
fighting-with-my-family,35
fighting-with-my-family,18
velvet-buzzsaw,53
velvet-buzzsaw,9648
velvet-buzzsaw,27
honey-boy,18
the-farewell-2019,35
the-farewell-2019,18
black-mirror-bandersnatch,878
black-mirror-bandersnatch,9648
black-mirror-bandersnatch,18
