letterboxd_link,tmdb,title,original_title,poster,trailer,synopsis,year,ignore_me,rating
the-invisible-man-2020,570670,The Invisible Man,The Invisible Man,/5EufsDwXdY2CVttYOk2WtYhgKpa.jpg,,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",2020,0,-1.0
emma-2020,556678,Emma.,Emma.,/uHpHzbHLSsVmAuuGuQSpyVDZmDc.jpg,,"In 1800s England, a well-meaning but selfish young woman meddles in the love lives of her friends.",2020,0,-1.0
palm-springs-2020,587792,Palm Springs,Palm Springs,/yf5IuMW6GHghu39kxA0oFx7Bxmj.jpg,,"When carefree Nyles and reluctant maid of honor Sarah have a chance encounter at a Palm Springs wedding, things get complicated when they find themselves unable to escape the venue, themselves, or each other.",2020,0,-1.0
birds-of-prey-and-the-fantabulous-emancipation-of-one-harley-quinn,495764,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),/h4VB6m0RwcicVEZvzftYZyKXs6K.jpg,,"Harley Quinn joins forces with a singer, an assassin and a police detective to help a young girl who had a hit placed on her after she stole a rare diamond from a crime lord.",2020,0,-1.0
john-mulaney-the-sack-lunch-bunch,650073,John Mulaney & The Sack Lunch Bunch,John Mulaney & The Sack Lunch Bunch,/rP8knLNDHN6VlUi89nWuqaWUdoo.jpg,,"John Mulaney and his kid pals tackle existential topics for all ages with catchy songs, comedy sketches and special guests in a nostalgic variety special.",2019,0,-1.0
star-wars-the-rise-of-skywalker,181812,Star Wars: The Rise of Skywalker,Star Wars: The Rise of Skywalker,/db32LaOibwEliAmSL2jjDF6oDdj.jpg,,"The surviving Resistance faces the First Order once again as the journey of Rey, Finn and Poe Dameron continues. With the power and knowledge of generations behind them, the final battle begins.",2019,0,-1.0
6-underground,509967,6 Underground,6 Underground,/lnWkyG3LLgbbrIEeyl5mK5VRFe4.jpg,,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",2019,0,-1.0
little-women-2019,331482,Little Women,Little Women,/yn5ihODtZ7ofn8pDYfxCmxh8AXI.jpg,,Four sisters come of age in America in the aftermath of the Civil War.,2019,0,-1.0
the-gentlemen,522627,The Gentlemen,The Gentlemen,/jtrhTYB7xSrJxR1vusu99nvnZ1g.jpg,,"American expat Mickey Pearson has built a highly profitable marijuana empire in London. When word gets out that he’s looking to cash out of the business forever it triggers plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",2020,0,-1.0
1917,530915,1917,1917,/iZf0KyrE25z1sage4SYFLCCrMi9.jpg,,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",2019,0,-1.0
zombieland-double-tap,338967,Zombieland: Double Tap,Zombieland: Double Tap,/dtRbVsUb5O12WWO54SRpiMtHKC0.jpg,,"Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family.",2019,0,-1.0
the-irishman-2019,398978,The Irishman,The Irishman,/mbm8k3GFhXS0ROd9AD1gqYbIFbM.jpg,,"Pennsylvania, 1956. Frank Sheeran, a war veteran of Irish origin who works as a truck driver, accidentally meets mobster Russell Bufalino. Once Frank becomes his trusted man, Bufalino sends him to Chicago with the task of helping Jimmy Hoffa, a powerful union leader related to organized crime, with whom Frank will maintain a close friendship for nearly twenty years.",2019,0,-1.0
jojo-rabbit,515001,Jojo Rabbit,Jojo Rabbit,/7GsM4mtM0worCtIVeiQt28HieeN.jpg,,"A World War II satire that follows a lonely German boy whose world view is turned upside down when he discovers his single mother is hiding a young Jewish girl in their attic. Aided only by his idiotic imaginary friend, Adolf Hitler, Jojo must confront his blind nationalism.",2019,0,-1.0
knives-out-2019,546554,Knives Out,Knives Out,/pThyQovXQrw2m0s9x82twj48Jq4.jpg,,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death.",2019,0,-1.0
the-king-2019,504949,The King,The King,/8u0QBGUbZcBW59VEAdmeFl9g98N.jpg,,"England, 15th century. Hal, a capricious prince who lives among the populace far from court, is forced by circumstances to reluctantly accept the throne and become Henry V.",2019,0,-1.0
joker-2019,475557,Joker,Joker,/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",2019,0,-1.0
ford-v-ferrari,359724,Ford v Ferrari,Ford v Ferrari,/6ApDtO7xaWAfPqfi2IARXIzj8QS.jpg,,"American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966.",2019,0,-1.0
marriage-story-2019,492188,Marriage Story,Marriage Story,/pZekG6xabTmZxjmYw10wN84Hp8d.jpg,,"A stage director and an actress struggle through a grueling, coast-to-coast divorce that pushes them to their personal extremes.",2019,0,-1.0
it-chapter-two,474350,It Chapter Two,It Chapter Two,/zfE0R94v1E8cuKAerbskfD3VfUt.jpg,,"27 years after overcoming the malevolent supernatural entity Pennywise, the former members of the Losers' Club, who have grown up and moved away from Derry, are brought back together by a devastating phone call.",2019,0,-1.0
ready-or-not-2019,567609,Ready or Not,Ready or Not,/vOl6shtL0wknjaIs6JdKCpcHvg8.jpg,,A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,2019,0,-1.0
